,City,Person,Number of Views,Description,link,latitude,longitude
0,Agartala,Dipa Karmakar,1345973,"Dipa Karmakar (born 9 August 1993) is an Indian artistic gymnast.
Karmakar first gained attention when she won a bronze medal at the 2014 Commonwealth Games in Glasgow, becoming the first Indian female gymnast to do so in the history of the Games. She also won a bronze medal at the Asian Gymnastics Championships and finished fifth at the 2015 World Artistic Gymnastics Championships, both firsts for her country.
Karmakar represented India at the 2016 Summer Olympics in Rio de Janeiro, becoming the first Indian female gymnast ever to compete in the Olympics, and the first Indian gymnast to do so in 52 years. She attained fourth position in Women's Vault Gymnastics event at Rio, with an overall score of 15.066.In July 2018, Karmakar became the first Indian gymnast to win a gold medal at a global event, when she finished first in the vault event of the FIG Artistic Gymnastics World Challenge Cup at Mersin, Turkey.Karmakar is one of the only five women who have successfully landed the Produnova, which is regarded as the most difficult vault currently performed in women's gymnastics.Karmakar is a recipient of the Padma Shri, the fourth highest civilian award in the Republic of India. For her performance in Rio Olympics 2016, the Government of India conferred upon her the Rajiv Gandhi Khel Ratna award in August 2016.",https://en.wikipedia.org/wiki/Dipa_Karmakar,23.8312377,91.2823821
1,Agra,Mumtaz Mahal,2758109,"Mumtaz Mahal (Persian: ممتاز محل [mumˈt̪aːz mɛˈɦɛl]; born Arjumand Banu; 27 April 1593 – 17 June 1631) was the Empress consort of the Mughal Empire from 19 January 1628 to 17 June 1631 as the chief consort of the Mughal emperor Shah Jahan. The Taj Mahal in Agra, often cited as one of the Wonders of the World, was commissioned by her husband to act as her tomb.Mumtaz Mahal was born Arjumand Banu Begum in Agra to a family of Persian nobility. She was the daughter of Abu'l-Hasan Asaf Khan, a wealthy Persian noble who held high office in the Mughal Empire, and the niece of Empress Nur Jahan, the chief wife of Emperor Jahangir and the power behind the emperor. She was married at the age of 19 on 30 April 1612 to Prince Khurram,  later known by his regnal name Shah Jahan, who conferred upon her the title ""Mumtaz Mahal"" (Persian: the exalted one of the palace). Although betrothed to Shah Jahan since 1607, she ultimately became his second wife in 1612. Mumtaz and her husband had fourteen children, including Jahanara Begum (Shah Jahan's favourite daughter), and the Crown prince Dara Shikoh, the heir-apparent, anointed by his father, who temporarily succeeded him, until deposed by Mumtaz Mahal's sixth child, Aurangzeb, who ultimately succeeded his father as the sixth Mughal emperor in 1658.Mumtaz Mahal died in 1631 in Burhanpur, Deccan (present-day Madhya Pradesh), during the birth of her fourteenth child, a daughter named Gauhar Ara Begum. Shah Jahan had the Taj Mahal built as a tomb for her, which is considered to be a monument of undying love.  As with other Mughal royal ladies, we have no contemporary likenesses that are accepted as of her, but numerous imagined portraits were created from the 19th century onwards.",https://en.wikipedia.org/wiki/Mumtaz_Mahal,27.1752554,78.0098161
2,Ahmedabad,Abdul Latif (criminal),2087052,"Abdul Latif was an underworld figure in Gujarat state of India and an associate of Dawood Ibrahim.
He was based in Ahmedabad and was politically well connected. He used to wait on tables in gambling dens where he started serving liquor as a teenager. He became a bootlegger and eventually monopolised the illegal liquor business in Gujarat. Latif was wanted for over 100 cases of murder, contract killing, extortion, rioting, kidnappings, smuggling, bootleging and was also wanted in the 1993 Mumbai blasts case. There were 243 cases against his gang including 64 murders and 14 kidnappings.The incident that highlighted Latif was the ""Odhav Shootout"". Latif wanted rival bootlegger Hansraj Trivedi to buy liquor from his gang. As Trivedi refused to be cowed down, Latif led two attacks on the gymkhana. In the second attack on August 3, 1992, automatic weapons, including sten guns and revolvers, were used.
The court relied on confessional statements made by some of the accused under section 15 of the Terrorist and Anti Disruptive Activities Act (TADA). Special public prosecutor SV Raju appeared for the state.
The court convicted nine persons and sentenced eight with life imprisonment and fine, while one Jehangir Patel, who provided arms to the Latif Gang, was given a sentence of seven years.
Main accused Liyakat Hussein alias master Khudabax Shaikh, was given lifer with a condition that it shall not be less than 20 years. He was further convicted under several other sections.He was the main culprit in supplying RDX used in the 1993 Mumbai blasts. He was arrested in 1995 in Delhi and housed at the Sabarmati jail pending trial. In November 1997, Latif was shot dead in a police encounter in Ahmedabad. In 2014, one of Latif's sons contested the election of Samajwadi Party against Shanker Singh Vaghela, the former Chief Minister. Latif's other son had contested against Vaghela in 2009.The 2017 Bollywood film Raees is said to be based on Latif's life. In April 2016, Latif's son filed a lawsuit for defamation against the makers of the film, saying the film misrepresented his father. Shaikh's lawyer said that the 97 cases lodged against Latif were for bootlegging and other serious offences under the Terrorist and Disruptive Activities (Prevention) Act, but he did not run a brothel or use women for delivery in his bootlegging operations, as depicted in the film. The film was declared to be a work of fiction.",https://en.wikipedia.org/wiki/Abdul_Latif_(criminal),23.0216238,72.5797068
3,Ahmednagar,Sadashiv Amrapurkar,925429,"Sadashiv Dattaray Amrapurkar (11 May 1950 – 3 November 2014) was an Indian actor, best known for his performances in Marathi and Hindi films in the period 1983 to 1999.He received the Filmfare Award for Best Performance in a Negative Role in 1991 for Sadak — the first time the award was instituted. In addition to negative roles, he has done supporting roles and, more recently, comic roles. He also played first class cricket in Ranji trophy.",https://en.wikipedia.org/wiki/Sadashiv_Amrapurkar,19.162772500000003,74.85802430085195
4,Aizawl,Zohmingliana Ralte,24268,Zohmingliana Ralte (born 2 October 1990) is an Indian professional footballer who plays primarily as a defender for Chennaiyin FC in the Indian Super League.,https://en.wikipedia.org/wiki/Zohmingliana_Ralte,23.7414092,92.7209297
5,Ajmer,Jahanara Begum,546691,"Jahanara Begum (Persian: جہان آرا بیگم‎; 23 March 1614 – 16 September 1681) was a Mughal princess and the Padshah Begum of the Mughal Empire between 1631 to 1681. She was the eldest child of Emperor Shah Jahan and his wife, Mumtaz Mahal. Often referred to simply as Begum Sahib (Princess of Princesses), she was also the older sister of the crown prince Dara Shikoh and Emperor Aurangzeb.
After Mumtaz Mahal's untimely death in 1631, the 17-year-old Jahanara took her mother's place as First Lady (Padshah Begum) of the Mughal Empire, despite the fact that her father had three other wives. She was Shah Jahan's favourite daughter and wielded major political influence during her father's reign, having been described as ""the most powerful woman in the empire"" at the time.Jahanara was an ardent partisan of her brother Dara Shikoh and supported him as her father's chosen successor. During the war of succession which took place after Shah Jahan's illness in 1657, Jahanara sided with the heir-apparent Dara and ultimately joined her father in Agra Fort, where he had been placed under house arrest by Aurangzeb. A devoted daughter, she took care of Shah Jahan until his death in 1666. Later, Jahanara reconciled with Aurangzeb who gave her the title Empress of Princesses and she replaced her younger sister, Princess Roshanara Begum, as First Lady. Jahanara died unmarried during Aurangzeb's reign.",https://en.wikipedia.org/wiki/Jahanara_Begum,26.4691,74.639
6,Akluj,Rinku Rajguru,2271724,"Prerana Mahadev ""Rinku"" Rajguru (born 3 June 2001), is an Indian actress primarily working in Marathi language films, best known for her role in the film Sairat.",https://en.wikipedia.org/wiki/Rinku_Rajguru,17.8930069,75.0204482
7,Akola,Shivdeep Lande,297808,"Shivdeep Wamanrao Lande  is an IPS Officer of 2006 Batch. He is currently serving as Deputy Inspector General- Anti Narcotics Cell, Crime Branch-Mumbai in Maharashtra Police on Central deputation. Earlier, he served as the Superintendent of Police in Araria, Purnia and Munger districts of Bihar. His tenure as the SP of Patna (Central Region) was quite popular. He arrested many criminals and took action against offenders. Lande was popular as he took strict action against eve-teasers. Shivdeep Lande has been affectionately given many names such as ‘Dabbang’, ‘Singham’ and ‘The Supercop’ by the people.As per media reports, he donates 60% to 70% of his salary to the sangathan which organizes mass marriages of poor girls and runs coaching classes and a hostel for students in Akola to ""Aid Them Realize Their Dreams"".",https://en.wikipedia.org/wiki/Shivdeep_Lande,20.7618624,77.19217162524623
8,Alappuzha,Mavelikkara Prabhakara Varma,13054,"Mavelikkara Prabhakara Varma (1928–2008) was an Indian carnatic singer. and teacher who descended from the royal family of Mavelikkara, Kerala.",https://en.wikipedia.org/wiki/Mavelikkara_Prabhakara_Varma,9.48870055,76.41256410969626
9,Aligarh,Bharat Bhushan,525983,"Bharat Bhushan (14 June 1920 – 27 January 1992) was an Indian actor in Hindi language films, scriptwriter and producer, who is best remembered for playing Baiju Bawra in the 1952 film of the same name. He was born in Meerut, and brought up in Aligarh, Uttar Pradesh.",https://en.wikipedia.org/wiki/Bharat_Bhushan,27.87698975,78.13729027600994
